Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
bereft,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
berserk,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
beseech,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
beset,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
besiege,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
besmirch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
best,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
best-known,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
best-performing,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
best-selling,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bestial,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
betray,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
betrayal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
betrayals,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
betrayer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
betraying,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
betrays,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
better,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
better-known,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
better-than-expected,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
beutifully,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bewail,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
beware,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bewilder,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bewildered,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bewildering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bewilderingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bewilderment,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bewitch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bias,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
biased,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
biases,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bicker,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bickering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bid-rigging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bigotries,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bigotry,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bitch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bitchy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
biting,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bitingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bitter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bitterly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bitterness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bizarre,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blab,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blabber,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blackmail,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blah,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blame,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blameless,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blameworthy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bland,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blandish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blaspheme,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blasphemous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blasphemy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blasted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blatant,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blatantly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blather,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bleak,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bleakly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bleakness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bleed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bleeding,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bleeds,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blemish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bless,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blessing,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blind,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blinding,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blindingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blindside,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bliss,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blissful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blissfully,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blister,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blistering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blithe,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bloated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blockage,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blockbuster,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blockhead,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bloodshed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bloodthirsty,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bloody,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bloom,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blossom,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
blotchy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blunder,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blundering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blunders,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blunt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blur,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bluring,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blurred,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blurring,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blurry,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blurs,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
blurt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boastful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boggle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bogus,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boil,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boiling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boisterous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bolster,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bomb,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bombard,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bombardment,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bombastic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bondage,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bonkers,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bonny,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bonus,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bonuses,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
boom,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
booming,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
boost,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bore,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bored,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boredom,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bores,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boring,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
botch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bother,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bothered,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bothering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bothers,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bothersome,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boundless,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bountiful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bowdlerize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
boycott,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
braggart,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bragger,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brainiest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brainless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brainwash,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brainy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brand-new,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brash,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brashly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brashness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brat,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bravado,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brave,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bravery,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bravo,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brazen,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brazenly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brazenness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
breach,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
break,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
break-up,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
break-ups,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
breakdown,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
breaking,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
breaks,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
breakthrough,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
breakthroughs,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
breakup,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
breakups,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
breathlessness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
breathtaking,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
breathtakingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
breeze,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bribery,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bright,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brighten,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brighter,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brightest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brilliance,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brilliances,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brilliant,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brilliantly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
brimstone,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brisk,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bristle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brittle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
broke,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
broken,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
broken-hearted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brood,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brotherly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
browbeat,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bruise,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bruised,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bruises,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bruising,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brusque,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutalising,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutalities,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutality,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutalize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutalizing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutally,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brute,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
brutish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bs,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
buckle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bug,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bugging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
buggy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bugs,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bulkier,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bulkiness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bulky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bulkyness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bull----,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bull****,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bullies,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bullish,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
bullshit,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bullshyt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bully,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bullying,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bullyingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bum,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bump,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bumped,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bumping,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bumpping,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bumps,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bumpy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bungle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bungler,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bungling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bunk,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
buoyant,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
burden,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
burdensome,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
burdensomely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
burn,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
burned,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
burning,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
burns,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
bust,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
busts,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
busybody,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
butcher,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
butchery,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
buzzing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
byzantine,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cackle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cajole,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
calamities,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calamitous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calamitously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calamity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
callous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calm,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
calming,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
calmness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
calumniate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calumniation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calumnies,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calumnious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calumniously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
calumny,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cancer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cancerous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cannibal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cannibalize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
capability,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
capable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
capably,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
capitulate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
capricious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
capriciously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
capriciousness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
capsize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
captivate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
captivating,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
carefree,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
careless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
carelessness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
caricature,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
carnage,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
carp,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cartoonish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cash-strapped,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cashback,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cashbacks,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
castigate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
castrated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
casualty,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cataclysm,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cataclysmal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cataclysmic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cataclysmically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
catastrophe,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
catastrophes,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
catastrophic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
catastrophically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
catastrophies,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
catchy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
caustic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
caustically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cautionary,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cave,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
celebrate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
celebrated,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
celebration,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
celebratory,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
censure,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chafe,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chaff,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chagrin,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
challenging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
champ,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
champion,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
chaos,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chaotic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
charisma,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
charismatic,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
charitable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
charm,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
charming,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
charmingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
chaste,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
chasten,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chastise,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chastisement,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chatter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chatterbox,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheap,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheapen,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheaper,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cheapest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cheaply,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheat,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheater,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheats,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
checkered,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheer,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cheerful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cheerless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cheery,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cheesy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cherish,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cherished,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cherub,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
chic,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
chide,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
childish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chill,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chilly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chintzy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chivalrous,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
chivalry,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
choke,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
choleric,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
choppy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chore,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chronic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
chunky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
civility,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
civilize,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clamor,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
